"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04447430","Light Therapy to Improve Symptoms in Pregnant Women With Major Depressive Disorder","GZPHBLT","Recruiting","No Results Available","Major Depressive Disorder","Device: bright light|Device: dim red light","Changes in depressive symptoms from baseline|Changes in anxious symptoms from baseline","Guangzhou Psychiatric Hospital|The Third Affiliated Hospital of Guangzhou Medical University","Female","18 Years to 45 Years   (Adult)","Not Applicable","140","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","GuangzhouPHBLT","June 12, 2020","December 30, 2021","December 30, 2021","June 25, 2020",,"June 25, 2020","Guangzhou Brain Hospital (Guangzhou Huiai Hospital), Guanzhou, Guangdong, China",,"https://ClinicalTrials.gov/show/NCT04447430"
2,"NCT04637620","NMDA Modulation in Major Depressive Disorder",,"Recruiting","No Results Available","Major Depressive Disorder","Drug: NMDAE|Drug: Sertraline|Drug: Placebo Cap","Change in Hamilton Rating Scale for Depression|Change in Global Assessment of Functioning|Change in Perceived Stress Scale|Visual Analogue Scale (VAS)|Clinical Global Impression|Quality of life (SF-36)|Visual Continuous Performance Test|Wisconsin Card Sorting Test|Logical Memory Test of the Wechsler Memory Scale|Digit Span|Spatial Span|Category Fluency|Trail Marking A|WAIS-III Digit Symbol-Coding|Mayer-Salovey-Caruso Emotional Intelligence Test (MSCEIT) V2.0","China Medical University Hospital|Ministry of Science and Technology, Taiwan","All","18 Years to 55 Years   (Adult)","Phase 2","90","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CMUH103-REC2-130","June 1, 2017","September 2022","December 2022","November 20, 2020",,"November 20, 2020","Department of Psychiatry, China Medical University Hospital, Taichung, Taiwan",,"https://ClinicalTrials.gov/show/NCT04637620"
3,"NCT03295708","Fish Oil as Adjunct Treatment for Major Depressive Disorder",,"Unknown status","No Results Available","Major Depressive Disorder","Dietary Supplement: fish oil capsule|Dietary Supplement: soybean oil capsule","Changes in Hamilton Depression Scale (HAMD) HAMD|Changes in Clinical Global Impression (CGI)|Changes in Hamilton Anxiety Scale (HAMA)|Changes in Beck Depression Rating Scale (BDI)|Changes in Self-Rating Anxiety Scale (SAS)","Second Xiangya Hospital of Central South University|Xiangya Hospital of Central South University","All","18 Years to 50 Years   (Adult)","Not Applicable","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","MDD201610","October 1, 2017","October 1, 2019","April 1, 2020","September 28, 2017",,"October 10, 2017","Mental Health Institute, Second Xiangya Hospital of Central South University, Changsha, Hunan, China","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/08/NCT03295708/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03295708"
4,"NCT04364997","Study of Desvenlafaxine in Treating Major Depressive Disorder.",,"Active, not recruiting","No Results Available","Major Depressive Disorder","Drug: Desvenlafaxine Succinate Sustained-Release Tablet , Duloxetine Hydrochloride Enteric-coated Capsule Placebo|Drug: Desvenlafaxine Succinate Sustained-Release Tablet Placebo, Duloxetine Hydrochloride Enteric-coated Capsule|Drug: Duloxetine Hydrochloride Enteric-coated Capsule Placebo|Drug: Duloxetine Hydrochloride Enteric-coated Capsule","Change From Baseline on the Hamilton Rating Scale for Depression, 17-item Total Score (HAM-D17) at Week 8|Hamilton Rating Scale for Depression, 17-item (HAM-D17) Response Rate|Hamilton Rating Scale for Depression, 17-item (HAM-D17) Remission Rate|Change From Baseline on the Hamilton Rating Scale for Anxiety (HAM-A) Total Score|Change From Baseline on the Clinical Global Impression Scale-Improvement (CGI-I)|Change From Baseline on the Clinical Global Impression-Severity Score (CGI-S)|Change From Baseline on the Visual Analog Scale (VAS) for Pain","CSPC ZhongQi Pharmaceutical Technology Co., Ltd.","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 3","420","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","HF124-CSP-001","June 18, 2020","December 31, 2021","December 31, 2021","April 28, 2020",,"June 25, 2021","Beijing Anding Hospital, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04364997"
5,"NCT04347577","Intestinal Flora and Major Depressive Disorders","IFMDD","Recruiting","No Results Available","Major Depressive Disorder","Drug: duloxetine","the difference between the flora|the dynamic succession change of the intestinal flora","Beijing Chao Yang Hospital|Capital Medical University","All","20 Years to 40 Years   (Adult)",,"40","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","HShi","April 10, 2020","October 1, 2022","April 1, 2023","April 15, 2020",,"April 17, 2020","Beijing Chao-Yang Hospital, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04347577"
6,"NCT01741142","Efficacy and Safety Study of ABT-436 in Major Depressive Disorder",,"Terminated","No Results Available","Major Depressive Disorder","Drug: ABT-436|Drug: Escitalopram|Drug: Placebo","Primary efficacy variable will be change from baseline to Week 6 visit on Montgomery-Asberg Depression Rating Scale (MADRS) total score.|Secondary efficacy variables include change from Baseline to Week 6 on clinician-rated Hamilton Depression Rating Scale.","AbbVie (prior sponsor, Abbott)|AbbVie","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","19","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","M11-733","January 2012","October 2013","August 2015","December 4, 2012",,"October 8, 2013","Site Reference ID/Investigator# 85593, Little Rock, Arkansas, United States|Site Reference ID/Investigator# 87228, Garden Grove, California, United States|Site Reference ID/Investigator# 87214, National City, California, United States|Site Reference ID/Investigator# 87220, Oakland, California, United States|Site Reference ID/Investigator# 87215, Bradenton, Florida, United States|Site Reference ID/Investigator# 87225, South Miami, Florida, United States|Site Reference ID/Investigator# 85594, Atlanta, Georgia, United States|Site Reference ID/Investigator# 85580, Marlton, New Jersey, United States|Site Reference ID/Investigator# 87227, Brooklyn, New York, United States|Site Reference ID/Investigator# 87223, New York, New York, United States|Site Reference ID/Investigator# 87217, Dayton, Ohio, United States|Site Reference ID/Investigator# 87226, Portland, Oregon, United States|Site Reference ID/Investigator# 87221, Philadelphia, Pennsylvania, United States|Site Reference ID/Investigator# 87219, Austin, Texas, United States|Site Reference ID/Investigator# 87216, Dallas, Texas, United States|Site Reference ID/Investigator# 87933, Houston, Texas, United States|Site Reference ID/Investigator# 88874, Salt Lake City, Utah, United States|Site Reference ID/Investigator# 88876, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT01741142"
7,"NCT04497493","Efficacy of Transcranial Direct Current Stimulation (tDCS) for the Treatment of Major Depressive Disorder",,"Recruiting","No Results Available","Major Depressive Disorders","Device: Transcranial Direct Current Stimulation (tDCS)-active|Device: Transcranial Direct Current Stimulation (tDCS)-sham","The change of scores in Hamilton Depression Rating Scale (HAMD)-17 from baseline to week 4.|The change of scores in Hamilton Anxiety Rating Scale (HAMA) from baseline to Week 4.|The change of scores in Pittsburgh Sleep Quality Index (PSQI) from basline to week 8.|The change of scores in quality of life (QOL) from baseline to week 8.|The change of sores in suicidal risk assessment scale from baseline to week 8|The change of scores in Repeatable Battery for the Assessment of neuropsychological Status (Rebans).|The changes of levels of biomarkers in peripheral blood from baseline to week 4|Adverse events from baseline to week 4","Tianjin Anding Hospital","All","18 Years to 50 Years   (Adult)","Not Applicable","75","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","tDCS-2020-TJAH","May 22, 2020","October 2021","March 2022","August 4, 2020",,"August 4, 2020","Tianjin Anding Hospital, Tianjin, China",,"https://ClinicalTrials.gov/show/NCT04497493"
8,"NCT03053830","Open Label Ketamine Treatment for Major Depressive Disorder in Veterans","Ket-MDD","Active, not recruiting","No Results Available","Major Depressive Disorder","Drug: Ketamine","Change in Montgomery-Asberg Depression Rating Scale (MADRS)|Change in Quick Inventory of Depressive Symptomatology-Self Report (QUIDS-SR)|Change in Hamilton Anxiety Rating Scale (HAM-A)|Clinical Global Impression Scale|Change in Brief Psychotic Rating Scale (BPRS)|Change in Clinician-Administered Dissociative States Scale (CADSS)|Change in Visual Analog Scale (VAS) of Mood States|Time Line Follow Back (TLFB)|Columbia-Suicide Severity Rating Scale (C-SSRS)|Quality of life enjoyment and satisfaction survey (Q-LES-Q)|Cognition","VA Connecticut Healthcare System","All","21 Years to 75 Years   (Adult, Older Adult)","Phase 2","11","U.S. Fed","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MR0012","January 31, 2017","June 30, 2021","June 30, 2021","February 15, 2017",,"October 6, 2020","VA Healthcare System, West Haven, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT03053830"
9,"NCT03487198","The Safety and Efficacy of Brexpiprazole as Adjunctive Therapy in the Treatment of Major Depressive Disorder",,"Terminated","No Results Available","Major Depressive Disorder","Drug: Brexpiprazole|Drug: Placebo","Change from the end of Phase A (Week 8 visit) to the end of Phase B (Week 14 visit) in the MADRS Total Score|Change from the end of Phase A (Week 8 visit) to the end of Phase B (Week 14 visit) in SDS Mean Score|Change from the end of Phase A (Week 8 visit) in MADRS Total Score for every trial week visit in Phase B other than Week 14 visit|Change from the end of Phase A (Week 8 visit) for every trial week visit in Phase B in CGI - Severity of Illness scale (CGI-S) score|Change from the end of Phase A (Week 8 visit) to the end of Phase B (Week 14 visit) in HAM-D17 Score|CGI - Improvement scale (CGI-I) score for every trial week visit in Phase B|MADRS Response Rate at every trial week visit in Phase B|CGI-I Response rate at every trial week visit in Phase B|Change from the end of Phase A (Week 8 visit) to the end of Phase B (Week 14 visit) in 16-item Quick Inventory of Depressive Symptomatology Self-Report (QIDS-SR16) Score|QIDS-SR16 Response Rate at every trial week visit in Phase B|QIDS-SR16 Complete Remission Rate (recovery) at every trial week visit in Phase B","Otsuka Beijing Research Institute","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 3","65","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","331-403-00023","May 30, 2018","May 30, 2019","May 30, 2019","April 3, 2018",,"December 29, 2020","Beijing Anding Hospital of Capital Medical University, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT03487198"
10,"NCT03446846","A Study to Evaluate the Efficacy and Safety of MIN-117 in Adult Patients With Major Depressive Disorder",,"Completed","Has Results","Major Depressive Disorder","Drug: MIN-117 5.0 mg|Drug: MIN-117 2.5 mg|Drug: Placebo","Change in Montgomery-Asberg Depression Rating Scale (MADRS) Total Score|Change in Hamilton Anxiety Scale (HAM-A)|Change in Clinical Global Impression of Severity Scale (CGI-S)|Change in Clinical Global Impression of Improvement Scale (CGI-I) at Week 6","Minerva Neurosciences","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","360","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","MIN-117C03","March 30, 2018","November 21, 2019","December 13, 2019","February 27, 2018","December 17, 2020","December 17, 2020","Woodland International Research Group, LLC, Little Rock, Arkansas, United States|Collaborative Neuroscience Network, LLC, Garden Grove, California, United States|Collaborative Neuroscience Network, LLC, Torrance, California, United States|Pacific Clinical Research Medical Group, Upland, California, United States|Atlanta Center for Medical Research, Atlanta, Georgia, United States|Hassman Research Institute, LLC, Berlin, New Jersey, United States|Neurobehavioral Research, Inc, Cedarhurst, NY, Cedarhurst, New York, United States|Neuro-Behavorial Clinical Research Inc, Canton, Ohio, United States|Oregon Center for Clinical Investigations, Portland, Oregon, United States|FutureSearch Trials, Dallas, Texas, United States|Mental Health Centre ""Prof. Dr. Ivan-Temkov - Burgas"" EOOD Complex Lazur, Burgas, Bulgaria|""University Multiprofile Hospital for Active Treatment - Dr. Georgi Stranski"" EAD, First psychiatric clinic, Pleven, Bulgaria|UMHAT ""Sveti Georgi"" EAD - Psychiatry Clinic, Plovdiv, Bulgaria|Mental Health Center, Ruse, Ruse, Bulgaria|""Diagnostic-Consultative Center St. Vrach and St. St. Kuzma and Damyan"" OOD, Psychiatric office, Sofia, Bulgaria|""Medical Center Stimul"" OOD, Psychiatric office, Sofia, Bulgaria|MC Intermedika, Sofia, Bulgaria|MC Sveti Naum, Sofia, Sofia, Bulgaria|DCC Mladost-M OOD, Varna, Bulgaria|Helsingin Psykiatripalvelu Oy at Mehilainen Clinic, Lääkärikeskus Mehiläinen, Helsinki, Finland|Oulu Mentalcare Oy, Oulu, Finland|Satakunnan Psykiatripalvelu Oy at Mehiläinen Pori, Pori, Finland|Mentoria, Tampere, Finland|Center for Mental Health and Prevention of Addiction Ltd, Tbilisi, Georgia|Tbilisi Mental Health Center Ltd, Tbilisi, Georgia|Department of Psychiatry, Addiction and Medical Psychology, Chisinau, Moldova, Republic of|Podlaskie Centrum Psychogeriatrii, Białystok, Poland|Ośrodek Badań Klinicznych - Clinsante S.C., Bydgoszcz, Poland|Zespół Opieki Zdrowotnej w Chełmnie, Poradnia Zdrowia Psychicznego, Chełmno, Poland|ISPL, Gdańsk, Poland|NZOZ Syntonia, Pruszcz Gdański, Poland|Prywatna Klinika Psychiatryczna Inventiva, Tuszyn, Poland|Communal Institution ""Dnipropetrovsk Regional Clinical Hospital n.a. I.I.Mechnykov"", Regional Center of Psychosomatic Disorders based on Psychoneurology, Dnipro, Ukraine|Municipal non-Profit enterprise ""Carpathian Regional Mental, Ivano-Frankivsk, Ukraine|State Institution ""Institute of Neurology, Psychiatry and Narcology of NAMS of Ukraine"" Department of Neuroses and Borderline States, Kharkiv, Ukraine|The Training and Research Medical Complex ""The Clinic"" otharkiv National Medical University, Kharkiv, Ukraine|Municipal non-profit enterprise ""Kherson Regional Psychiatric Care Facility"", Kherson, Ukraine|Municipal Non-Profit Enterprise ""Kirovohrad Regional Psychoneurological Hospital of Kirovohrad Regional Council, Kropyvnytskyi, Ukraine|Municipal enterprise ""Heikiv Psychoneurological Hospital, Dnipropetrovsk Regional Council"", Kryvyy Rih, Ukraine|Kyiv Clinical Hospital on Railway Transport #1 of the branch ""Health Center"" of the joint-stock company ""Ukrainian Railway"", Kyiv, Ukraine|Kyiv Regional Medical Incorporation Psychiatry Center of Novel Treatment and Rehabilitation of Psychotic Disorders, Kyiv, Ukraine|Municipal Institution of Kyiv Regional Council ""Regional Psychiatric and Narcological Medical Association"", Kyiv, Ukraine|National Military-Medical Clinical Center Main Military, Kyiv, Ukraine|Municipal non-profit enterprise of Lviv Regional Council ""Lviv Regional Clinical Psychiatric Hospital"", Lviv, Ukraine|Municipal Non-Profit Enterprise ""Odessa Regional Psychiatric Hospital # 2"" ""of Odessa Regional Council"", Odessa, Ukraine|Communal enterprise ""Poltava Regional Clinical Psychiatric Hospital named O.F. Maltsev Poltava Regional Council"", Poltava, Ukraine|Municipal non-profit enterprise""Vinnytsya Regional Psychoneurological Hospital named Acad. O.I. Yushchenko of Vinnytsya Regional Council, Vinnytsya, Ukraine","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/46/NCT03446846/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/46/NCT03446846/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03446846"
